,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
32,CA-WATERLOO-T2,CA-WATERLOO-T2,CA-WATERLOO-T2_DATADISK,CA,2,14.5,8.0,0,2000,09-28-2021,758,459,54,0.0,2712.0,120.0,0.9576,68.62,7.51,221.01,213.5,-619.75,0.0,2135.0,1221.05,31.69,0.0,1882.3,4
33,CSCS-LCG2,CSCS-LCG2,CSCS-LCG2_DATADISK,DE,2,12.45,8.0,0,2000,09-28-2021,1186,863,222,1.36,3237.0,30.0,0.9908,9.11,6.34,257.36,251.02,356.22,0.0,2510.2,283.55,106.96,0.0,2145.89,4
34,CYFRONET,CYFRONET-LCG2,CYFRONET-LCG2_DATADISK,DE,2,14.2,16.0,0,2000,09-28-2021,871,179,95,4.61,1084.0,57.0,0.95,92.51,7.38,182.45,175.06,-648.44,109.0,1814.19,1241.97,-48.45,63.55,1616.65,4
35,DESY-HH,DESY-HH,DESY-HH_DATADISK,DE,2,11.675,8.0,0,2000,09-28-2021,13968,278,651,48.5,10886.0,339.0,0.9698,15.54,33.45,253.45,220.0,316.96,0.0,2200.0,295.55,14.05,0.0,1932.51,3
36,DESY-ZN,DESY-ZN,DESY-ZN_DATADISK,DE,2,20.93,8.0,0,2000,09-28-2021,4718,552,781,4.77,7688.0,92.0,0.9882,7.12,30.8,245.24,214.44,449.38,50.0,2150.0,185.78,4.04,5.56,1895.16,3
37,EELA-UTFSM,EELA-UTFSM,EELA-UTFSM_DATADISK,ES,2,11.565,8.0,0,2000,09-28-2021,194,11,11,9.29,432.0,23.0,0.9495,132.77,29.38,70.38,41.0,-211.76,0.0,410.0,319.74,-14.35,0.0,353.97,6
38,FMPhI-UNIBA,FMPhI-UNIBA,FMPHI-UNIBA_DATADISK,DE,2,10.513,8.0,0,2000,09-28-2021,368,326,64,1.1,730.0,6.0,0.9918,60.85,3.47,65.92,62.45,-170.03,0.0,624.52,350.2,3.73,0.0,554.88,5
39,GRIF-IRFU,GRIF,GRIF-IRFU_DATADISK,FR,2,11.047,8.0,0,2000,09-28-2021,3413,163,223,19.73,2530.0,76.0,0.9708,18.11,97.12,305.37,208.25,382.24,0.0,2082.48,303.73,-158.36,0.0,1935.46,3
40,GRIF-LAL,GRIF,GRIF-LAL_DATADISK,FR,2,10.0,8.0,0,8000,09-28-2021,2352,141,130,15.58,2327.0,483.0,0.8281,52.96,58.51,209.37,150.85,-438.02,0.0,1508.53,851.11,-19.04,0.0,1318.21,5
41,GRIF-LPNHE,GRIF,GRIF-LPNHE_DATADISK,FR,2,11.047,8.0,0,2000,09-28-2021,1857,269,170,6.66,2523.0,38.0,0.9852,43.56,5.26,151.26,146.0,-425.33,0.0,1460.0,870.59,-12.53,0.0,1321.27,4
42,GoeGrid,GoeGrid,GOEGRID_DATADISK,DE,2,9.0,8.0,0,2000,09-28-2021,455,209,109,2.08,1513.0,1483.0,0.505,49.13,703.76,917.94,214.18,-637.77,63.0,2200.0,403.92,175.5,58.2,1048.36,4
43,HEPHY-UIBK,HEPHY-UIBK,LRZ-LMU_DATADISK,DE,2,8.458,8.0,0,2000,09-28-2021,1469,146,56,9.42,580.0,924.0,0.3856,41.78,131.6,346.63,215.03,219.05,0.0,2150.32,291.33,3.1,0.0,1800.58,3
