,rse,site,cloud,queue,datetime,tier_level,corepower,corecount,nodes,transferringlimit,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance,SARA-MATRIX_DATADISK_closeness,rse_weight
63,INFN-NAPOLI-ATLAS_DATADISK,INFN-NAPOLI-ATLAS,IT,INFN-NAPOLI-ATLAS,09-28-2021,0.04,-0.178,-0.02,-0.036,-0.047,-0.038,-0.046,-0.098,-0.034,-0.061,-0.031,0.023,-0.059,-0.056,-0.049,0.014,-0.031,-0.001,-0.182,-0.286,-0.066,0.03,-0.179,0.024,-0.024,-0.36400000000000005
64,INFN-ROMA1_DATADISK,INFN-ROMA1,IT,INFN-ROMA1,09-28-2021,0.04,-0.102,-0.02,-0.036,-0.047,0.011,-0.056,-0.053,0.335,0.003,-0.037,0.093,-0.112,-0.043,-0.057,-0.159,-0.045,-0.105,-0.211,-0.315,-0.025,-0.09,-0.204,0.149,-0.149,-0.041999999999999926
65,INFN-ROMA3_DATADISK,INFN-ROMA3,IT,INFN-ROMA3,09-28-2021,0.373,-0.166,-0.02,-0.036,-0.047,-0.054,-0.058,-0.107,-0.067,-0.099,-0.052,0.096,-0.116,-0.066,-0.139,-0.69,-0.099,-0.105,-0.286,-0.323,-0.053,-0.09,-0.269,0.274,-0.274,-0.777
66,JINR-LCG2_DATADISK,JINR-LCG2,RU,JINR,09-28-2021,0.04,-0.006,-0.02,-0.036,-0.047,-0.046,-0.055,-0.028,-0.043,-0.067,-0.049,0.102,0.079,-0.044,-0.084,-0.384,-0.137,-0.105,-0.242,-0.148,-0.396,-0.09,-0.22,-0.101,0.101,-0.19399999999999998
67,MPPMU_DATADISK,MPPMU,DE,MPPMU,09-28-2021,0.04,-0.069,-0.02,-0.036,-0.047,-0.046,-0.049,-0.079,-0.054,-0.059,-0.012,-0.045,-0.092,-0.024,-0.015,0.06,-0.047,0.11,-0.173,-0.269,-0.03,0.121,-0.178,0.024,-0.024,-0.39
68,NESE_DATADISK,BU_ATLAS_Tier2,US,NET2,09-28-2021,0.04,-0.11,-0.02,0.214,0.007,-0.006,0.018,0.046,-0.056,0.117,0.106,-0.011,0.215,-0.007,0.03,0.31,-0.067,-0.105,-0.078,-0.06,-0.026,-0.09,-0.079,0.149,-0.149,-0.218
69,NET2_DATADISK,BU_ATLAS_Tier2,US,NET2,09-28-2021,0.04,-0.11,-0.02,0.214,0.007,-0.006,0.018,0.046,-0.056,0.117,0.106,-0.011,-0.103,-0.095,-0.051,0.31,0.011,-0.105,-0.095,-0.193,0.078,-0.09,-0.09,-0.101,0.101,-0.066
70,OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS,09-28-2021,0.04,-0.032,-0.02,-0.036,-0.047,-0.05,-0.026,-0.097,-0.084,-0.08,-0.052,0.122,-0.108,-0.005,-0.065,-0.525,-0.126,-0.105,-0.262,-0.28,-0.045,-0.09,-0.255,0.149,-0.149,-0.535
71,OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_OPP,09-28-2021,0.04,-0.032,,-0.036,-0.047,-0.057,-0.066,-0.112,-0.043,-0.095,-0.051,0.087,-0.108,-0.005,-0.065,-0.525,-0.126,-0.105,-0.262,-0.28,-0.045,-0.09,-0.255,0.149,-0.149,-0.544
72,RAL-LCG2-ECHO_DATADISK,RAL-LCG2,UK,RAL,09-28-2021,-0.294,-0.034,-0.02,-0.036,0.007,0.079,0.143,0.009,-0.053,0.356,0.055,0.077,-0.036,-0.079,-0.037,0.31,0.235,-0.105,0.436,0.541,-0.053,-0.09,0.454,-0.101,0.101,0.533
73,RO-07-NIPNE_DATADISK,RO-16-UAIC,FR,RO-16-UAIC,09-28-2021,0.04,-0.181,-0.02,-0.036,0.115,-0.049,-0.058,-0.082,-0.036,-0.088,-0.05,0.088,0.23,-0.059,-0.036,0.153,-0.21,-0.105,-0.167,0.03,0.0,-0.09,-0.163,0.024,-0.024,-0.257
74,RO-07-NIPNE_DATADISK,RO-07-NIPNE,FR,ROMANIA07_HTCondor,09-28-2021,0.04,-0.127,-0.02,-0.036,-0.047,-0.008,-0.037,0.025,0.015,-0.044,-0.048,0.107,0.23,-0.059,-0.036,0.153,-0.21,-0.105,-0.167,0.03,0.0,-0.09,-0.163,0.024,-0.024,-0.08000000000000002
75,RRC-KI-T1_DATADISK,RRC-KI-T1,RU,RRC-KI-T1,09-28-2021,-0.294,0.26,-0.02,-0.036,-0.047,-0.034,0.023,-0.041,-0.079,-0.03,-0.029,0.059,-0.013,-0.015,0.022,0.31,0.045,-0.105,-0.071,-0.223,-0.048,-0.09,-0.071,-0.101,0.101,-0.008999999999999994
76,PIC_DATADISK,SAMPA,ES,SAMPA,09-28-2021,0.04,0.113,-0.02,-0.036,-0.047,-0.046,-0.002,0.068,-0.085,-0.09,-0.036,-0.108,-0.087,-0.058,-0.017,0.31,-0.003,-0.105,-0.137,-0.264,0.01,-0.09,-0.135,-0.101,0.101,-0.17800000000000002
