,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,free_gb,datetime
69,IHEP,RU-Protvino-IHEP,RU-PROTVINO-IHEP_DATADISK,RU,2,8.8,1.0,0,2000,134031.06,09-28-2021
70,IL-TAU,IL-TAU-HEP,TECHNION-HEP_DATADISK,NL,2,10.0,8.0,0,2000,766556.04,09-28-2021
71,IN2P3-CC,IN2P3-CC,IN2P3-CC_DATADISK,FR,1,11.89,8.0,0,1500,311908.06,09-28-2021
72,IN2P3-CPPM,IN2P3-CPPM,IN2P3-CPPM_DATADISK,FR,2,10.88,8.0,0,2000,218307.39,09-28-2021
73,IN2P3-CPPM_LAKE,IN2P3-CPPM,IN2P3-CPPM_DATADISK,FR,2,10.88,8.0,0,2000,218307.39,09-28-2021
74,IN2P3-LAPP,IN2P3-LAPP,IN2P3-LAPP_DATADISK,FR,2,11.5,8.0,0,2000,325576.79,09-28-2021
75,IN2P3-LAPP_LAKE,IN2P3-LAPP,IN2P3-LAPP_DATADISK,FR,2,11.5,8.0,0,2000,325576.79,09-28-2021
76,IN2P3-LPC,IN2P3-LPC,IN2P3-LPC_DATADISK,FR,2,12.092,8.0,0,2000,158536.48,09-28-2021
77,IN2P3-LPC-MUC2A,IN2P3-LPC,IN2P3-LPC_DATADISK,FR,3,10.0,8.0,0,2000,158536.48,09-28-2021
78,IN2P3-LPC_LAKE,IN2P3-LPC,IN2P3-LPC_DATADISK,FR,2,12.092,8.0,0,2000,158536.48,09-28-2021
79,IN2P3-LPSC,IN2P3-LPSC,IN2P3-LPSC_DATADISK,FR,2,11.384,8.0,0,2000,123158.89,09-28-2021
80,IN2P3-LPSC_LAKE,IN2P3-LPSC,IN2P3-LPSC_DATADISK,FR,2,11.384,8.0,0,2000,123158.89,09-28-2021
81,INFN-CNAF,INFN-T1,INFN-T1_DATADISK,IT,1,11.25,8.0,0,2000,375176.6,09-28-2021
82,INFN-COSENZA-RECAS,INFN-COSENZA,INFN-COSENZA_DATADISK,IT,3,8.503,8.0,0,2000,30696.26,09-28-2021
83,INFN-FRASCATI,INFN-FRASCATI,INFN-FRASCATI_DATADISK,IT,2,11.04,8.0,0,2000,177860.87,09-28-2021
84,INFN-GENOVA,INFN-GENOVA,INFN-GENOVA_DATADISK,IT,3,10.0,8.0,0,2000,2288.51,09-28-2021
85,INFN-LECCE,INFN-LECCE,INFN-NAPOLI-ATLAS_DATADISK,IT,3,10.0,1.0,0,2000,221901.58,09-28-2021
86,INFN-MILANO-ATLASC,INFN-MILANO-ATLASC,INFN-MILANO-ATLASC_DATADISK,IT,2,12.452,8.0,0,2000,414371.19,09-28-2021
87,INFN-NAPOLI-ATLAS,INFN-NAPOLI-ATLAS,INFN-NAPOLI-ATLAS_DATADISK,IT,2,9.84,8.0,0,2000,221901.58,09-28-2021
88,INFN-ROMA1,INFN-ROMA1,INFN-ROMA1_DATADISK,IT,2,10.818,8.0,0,2000,202575.61,09-28-2021
89,INFN-ROMA3,INFN-ROMA3,INFN-ROMA3_DATADISK,IT,3,10.0,8.0,0,2000,2666.74,09-28-2021
90,INFN-ROMA3,INFN-ROMA3,CERN-PROD_DATADISK,IT,3,10.0,8.0,0,2000,255678.68,09-28-2021
91,ITEP_PROD,ITEP,RRC-KI-T1_DATADISK,RU,2,2.5,8.0,20,2000,396671.02,09-28-2021
92,JINR,JINR-LCG2,JINR-LCG2_DATADISK,RU,2,12.06,8.0,0,2000,137398.62,09-28-2021
93,LRZ-LMU,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,8.0,0,2000,323130.32,09-28-2021
94,LRZ-LMU_C2PAP,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,28.0,0,2000,323130.32,09-28-2021
95,LRZ-LMU_C2PAP_ES,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,28.0,0,2000,323130.32,09-28-2021
96,LRZ-LMU_C2PAP_ES_MCORE,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,28.0,0,2000,323130.32,09-28-2021
97,LRZ-LMU_CLOUD,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,10.0,0,2000,323130.32,09-28-2021
98,LRZ-LMU_MUC,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,20.0,96.0,0,2000,323130.32,09-28-2021
99,LRZ-LMU_MUC_ES,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,10.0,96.0,0,2000,323130.32,09-28-2021
100,LRZ-LMU_MUC_MCORE,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,20.0,96.0,0,2000,323130.32,09-28-2021
101,LRZ-LMU_VHIMEM,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,8.0,0,2000,323130.32,09-28-2021
102,LRZ-LMU_XCACHE,LRZ-LMU,MPPMU_DATADISK,DE,2,9.761,8.0,0,2500,305308.24,09-28-2021
103,LUNARC,SE-SNIC-T2,NDGF-T1_DATADISK,ND,2,12.44,8.0,0,2000,277802.69,09-28-2021
104,MEPHI_XCACHE,ru-Moscow-MEPHI-LCG2,JINR-LCG2_DATADISK,RU,3,10.0,,0,2000,137398.62,09-28-2021
105,MPPMU,MPPMU,MPPMU_DATADISK,DE,2,11.25,8.0,0,2000,305308.24,09-28-2021
106,MWT2,MWT2,MWT2_DATADISK,US,2,10.86,8.0,800,5000,320684.03,09-28-2021
107,MWT2_VHIMEM_UCORE,MWT2,MWT2_DATADISK,US,2,11.08,8.0,800,2000,320684.03,09-28-2021
108,NCG-INGRID-PT,NCG-INGRID-PT,NCG-INGRID-PT_DATADISK,ES,2,8.02,8.0,0,2000,29019.28,09-28-2021
109,NERSC_Cori_p2_ES,LBNL_DSD_ITB,SLACXRD_DATADISK,US,3,2.39,136.0,0,2000,40093.45,09-28-2021
110,NERSC_Cori_p2_ES,LBNL_DSD_ITB,BNLHPC_DATADISK,US,3,2.39,136.0,0,2000,24709.27,09-28-2021
111,NERSC_Cori_p2_mcore,LBNL_DSD_ITB,BNLHPC_DATADISK,US,3,2.39,136.0,0,20000,24709.27,09-28-2021
112,NET2,BU_ATLAS_Tier2,NET2_DATADISK,US,2,10.72,8.0,200,3000,217922.25,09-28-2021
113,NET2,BU_ATLAS_Tier2,NESE_DATADISK,US,2,10.72,8.0,200,3000,413129.01,09-28-2021
114,NIKHEF,NIKHEF-ELPROD,NIKHEF_DATADISK,NL,1,14.09,8.0,0,2000,346073.41,09-28-2021
115,NSC,NDGF-T1,NDGF-T1_DATADISK,ND,1,16.039,8.0,0,2000,277802.69,09-28-2021
116,OU_OSCER_ATLAS,OU_OSCER_ATLAS,OU_OSCER_ATLAS_DATADISK,US,2,11.73,8.0,0,2000,184588.78,09-28-2021
117,OU_OSCER_ATLAS_OPP,OU_OSCER_ATLAS,OU_OSCER_ATLAS_DATADISK,US,2,11.73,,0,2000,184588.78,09-28-2021
118,PNPI_PROD,ru-PNPI,RRC-KI-T1_DATADISK,RU,2,11.0,,0,2000,396671.02,09-28-2021
119,PNPI_XCACHE-NODE,ru-PNPI_XCACHE_NODES,JINR-LCG2_DATADISK,RU,3,10.0,,0,2000,137398.62,09-28-2021
120,PRUE-XCACHE,ru-PRUE-DL,JINR-LCG2_DATADISK,RU,3,0.0,,0,2000,137398.62,09-28-2021
121,RAL,RAL-LCG2,RAL-LCG2-ECHO_DATADISK,UK,1,11.7,8.0,0,3000,14286488.29,09-28-2021
122,RAL-LCG2_ES,RAL-LCG2,RAL-LCG2-ECHO_DATADISK,UK,1,10.0,1.0,0,2000,14286488.29,09-28-2021
123,RAL-LCG2_MCORE,RAL-LCG2,RAL-LCG2-ECHO_DATADISK,UK,1,11.7,8.0,0,3000,14286488.29,09-28-2021
124,RIVR.UM,RIVR.UM,NDGF-T1_DATADISK,ND,3,14.0,32.0,0,2000,277802.69,09-28-2021
125,RO-14-ITIM,RO-14-ITIM,RO-07-NIPNE_DATADISK,FR,2,9.8,8.0,0,2000,253921.66,09-28-2021
126,RO-16-UAIC,RO-16-UAIC,RO-07-NIPNE_DATADISK,FR,2,9.8,8.0,0,5000,253921.66,09-28-2021
127,ROMANIA07_HTCondor,RO-07-NIPNE,RO-07-NIPNE_DATADISK,FR,2,10.5,8.0,0,2000,253921.66,09-28-2021
