"RSE","ACTIVITY","N_REQUESTS","GB","SITE","CLOUD"
UKI-NORTHGRID-LIV-HEP_DATADISK,User Subscriptions,2,0,UKI-NORTHGRID-LIV-HEP,UK
RO-07-NIPNE_DATADISK,User Subscriptions,1,0,RO-07-NIPNE,FR
TECHNION-HEP_DATADISK,Production Output,4,0.88,TECHNION-HEP,NL
CSCS-LCG2_DATADISK,Staging,18,65.82,CSCS-LCG2,DE
NESE_DATADISK,Staging,23,8.51,BU_NESE,US
SWT2_CPB_DATADISK,Data Consolidation,2,0.33,SWT2_CPB,US
INFN-MILANO-ATLASC_DATADISK,User Subscriptions,2,1.21,INFN-MILANO-ATLASC,IT
SWT2_CPB_DATADISK,User Subscriptions,1,0,SWT2_CPB,US
LRZ-LMU_DATADISK,User Subscriptions,1,0.01,LRZ-LMU,DE
GRIF-LAL_DATADISK,Data Consolidation,1,4.38,GRIF-LAL,FR
GRIF-IRFU_DATADISK,Data rebalancing,77,81.94,GRIF-IRFU,FR
IFAE_DATADISK,Data rebalancing,56,94.84,ifae,ES
UKI-LT2-RHUL_DATADISK,Data rebalancing,14,41.5,UKI-LT2-RHUL,UK
TRIUMF-LCG2_DATADISK,Analysis Input,1332,2703.3,TRIUMF-LCG2,CA
TRIUMF-LCG2_DATADISK,Data rebalancing,20084,20489.06,TRIUMF-LCG2,CA
BNL-OSG2_DATADISK,Data rebalancing,3879,21493.26,BNL-ATLAS,US
CA-WATERLOO-T2_DATADISK,Data Consolidation,19,30.74,CA-WATERLOO-T2,CA
RAL-LCG2-ECHO_DATADISK,Analysis Input,3198,12648.73,RAL-LCG2,UK
TAIWAN-LCG2_DATADISK,Production Input,19,33.27,Taiwan-LCG2,TW
IFIC-LCG2_DATADISK,Production Output,166,16.18,IFIC-LCG2,ES
GRIF-LAL_DATADISK,Production Output,4,0.02,GRIF-LAL,FR
UKI-SCOTGRID-ECDF_DATADISK,Data rebalancing,187,211.47,UKI-SCOTGRID-ECDF,UK
UKI-LT2-RHUL_DATADISK,Functional Test,10,0.01,UKI-LT2-RHUL,UK
BNL-OSG2_DATADISK,Production Output,246,1441.79,BNL-ATLAS,US
UKI-NORTHGRID-LIV-HEP_DATADISK,Functional Test,9,0.01,UKI-NORTHGRID-LIV-HEP,UK
IFAE_DATADISK,Functional Test,6,0.01,ifae,ES
RO-07-NIPNE_DATADISK,Analysis Input,64,25.88,RO-07-NIPNE,FR
SARA-MATRIX_DATADISK,Analysis Input,18,70.9,SARA-MATRIX,NL
IEPSAS-KOSICE_DATADISK,User Subscriptions,2,0.01,IEPSAS-Kosice,DE
TECHNION-HEP_DATADISK,Functional Test,7,0.01,TECHNION-HEP,NL
INFN-MILANO-ATLASC_DATADISK,Functional Test,12,0.01,INFN-MILANO-ATLASC,IT
RU-PROTVINO-IHEP_DATADISK,Production Input,34,204.18,RU-Protvino-IHEP,RU
CERN-PROD_DATADISK,T0 Export,1,0.75,CERN-PROD,CERN
CYFRONET-LCG2_DATADISK,Analysis Input,543,152.39,CYFRONET-LCG2,DE
NIKHEF_DATADISK,Functional Test,30,0.03,NIKHEF,NL
INFN-T1_DATADISK,User Subscriptions,1,0,INFN-T1,IT
IN2P3-CC_DATADISK,Data Consolidation,4,6.96,IN2P3-CC,FR
UKI-LT2-RHUL_DATADISK,Production Output,1,0.01,UKI-LT2-RHUL,UK
TR-10-ULAKBIM_DATADISK,Functional Test,13,0.01,TR-10-ULAKBIM,NL
JINR-LCG2_DATADISK,Analysis Input,35,12,JINR-LCG2,RU
DESY-ZN_DATADISK,Functional Test,8,0.01,DESY-ZN,DE
RO-07-NIPNE_DATADISK,Production Output,1,1.71,RO-07-NIPNE,FR
UKI-NORTHGRID-MAN-HEP_DATADISK,Production Output,6,5.25,UKI-NORTHGRID-MAN-HEP,UK
CERN-PROD_DATADISK,Data Consolidation,17,17.41,CERN-PROD,CERN
TECHNION-HEP_DATADISK,Production Input,7,15.93,TECHNION-HEP,NL
IN2P3-LPC_DATADISK,Analysis Input,61,24.26,IN2P3-LPC,FR
UKI-SCOTGRID-ECDF_DATADISK,Production Input,3,12.3,UKI-SCOTGRID-ECDF,UK
UNIBE-LHEP_DATADISK,Analysis Input,17,13.41,UNIBE-LHEP,ND
CSCS-LCG2_DATADISK,User Subscriptions,2,1.03,CSCS-LCG2,DE
CA-WATERLOO-T2_DATADISK,Production Output,1,0,CA-WATERLOO-T2,CA
IFIC-LCG2_DATADISK,Data Consolidation,1,0.02,IFIC-LCG2,ES
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,Production Input,3,0.02,UKI-SCOTGRID-GLASGOW,UK
PRAGUELCG2_DATADISK,Express,1,0.07,praguelcg2,DE
TOKYO-LCG2_DATADISK,Data rebalancing,58,165.99,TOKYO-LCG2,FR
UKI-NORTHGRID-LANCS-HEP_DATADISK,Data rebalancing,8,17.9,UKI-NORTHGRID-LANCS-HEP,UK
DESY-HH_DATADISK,Data rebalancing,72,200.88,DESY-HH,DE
RAL-LCG2-ECHO_DATADISK,Staging,24628,22711.06,RAL-LCG2,UK
INFN-T1_DATADISK,Data rebalancing,4715,4882.1,INFN-T1,IT
AGLT2_DATADISK,Analysis Input,1879,6258.94,AGLT2,US
TOKYO-LCG2_DATADISK,Functional Test,10,0.01,TOKYO-LCG2,FR
IFIC-LCG2_DATADISK,Production Input,74,47.79,IFIC-LCG2,ES
UKI-NORTHGRID-MAN-HEP_DATADISK,User Subscriptions,1,0.01,UKI-NORTHGRID-MAN-HEP,UK
CERN-PROD_DATADISK,Express,34,46.5,CERN-PROD,CERN
SAMPA_DATADISK,Functional Test,9,0.01,SAMPA,ES
