"SOURCE","DEST","SRC_SITE","DEST_SITE","SRC_CLOUD","DEST_CLOUD","AGIS_DISTANCE"
BNL-OSG2_DATADISK,BNL-OSG2_DATADISK,BNL-ATLAS,BNL-ATLAS,US,US,0
CSCS-LCG2_PPSDATADISK,CSCS-LCG2_DATADISK,,CSCS-LCG2,,DE,0
CSCS-LCG2_DATADISK,CSCS-LCG2_PPSDATADISK,CSCS-LCG2,,DE,,0
CSCS-LCG2_PPSDATADISK,CSCS-LCG2_PPSDATADISK,,,,,0
CERN-PROD-RUCIOTEST_DATADISK,CERN-PROD_DATADISK,CERN-PROD,CERN-PROD,CERN,CERN,0
CERN-PROD_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,CERN-PROD,CERN-PROD,CERN,CERN,0
ZA-WITS-CORE_DATADISK,ZA-WITS-CORE_DATADISK,ZA-WITS-CORE,ZA-WITS-CORE,NL,NL,0
CERN-EXTENSION_DATADISK,CERN-EXTENSION_DATADISK,CERN-EXTENSION,CERN-EXTENSION,CERN,CERN,0
CA-VICTORIA-WESTGRID-T2_DATADISK,CA-VICTORIA-WESTGRID-T2_DATADISK,CA-VICTORIA-WESTGRID-T2,CA-VICTORIA-WESTGRID-T2,CA,CA,0
OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS,OU_OSCER_ATLAS,US,US,0
UKI-SCOTGRID-ECDF-RDF_DATADISK,UKI-SCOTGRID-ECDF-RDF_DATADISK,,,,,0
DESY-ZN_DATADISK,DESY-ZN_DATADISK,DESY-ZN,DESY-ZN,DE,DE,0
DESY-HH_DATADISK,DESY-HH_DATADISK,DESY-HH,DESY-HH,DE,DE,0
CSCS-LCG2_DATADISK,CSCS-LCG2_DATADISK,CSCS-LCG2,CSCS-LCG2,DE,DE,0
OLCF_DATADISK,OLCF_DATADISK,OLCF,OLCF,US,US,0
FZK-LCG2_DATADISK,FZK-LCG2_DATADISK,FZK-LCG2,FZK-LCG2,DE,DE,0
EELA-UTFSM_DATADISK,EELA-UTFSM_DATADISK,EELA-UTFSM,EELA-UTFSM,ES,ES,0
FMPHI-UNIBA_DATADISK,FMPHI-UNIBA_DATADISK,FMPhI-UNIBA,FMPhI-UNIBA,DE,DE,0
GRIF-LAL_DATADISK,GRIF-LAL_DATADISK,GRIF-LAL,GRIF-LAL,FR,FR,0
GRIF-IRFU_DATADISK,GRIF-IRFU_DATADISK,GRIF-IRFU,GRIF-IRFU,FR,FR,0
GOEGRID_DATADISK,GOEGRID_DATADISK,GoeGrid,GoeGrid,DE,DE,0
IFIC-LCG2_DATADISK,IFIC-LCG2_DATADISK,IFIC-LCG2,IFIC-LCG2,ES,ES,0
IFAE_DATADISK,IFAE_DATADISK,ifae,ifae,ES,ES,0
INFN-ROMA3_DATADISK,INFN-ROMA3_DATADISK,INFN-ROMA3,INFN-ROMA3,IT,IT,0
IEPSAS-KOSICE_DATADISK,IEPSAS-KOSICE_DATADISK,IEPSAS-Kosice,IEPSAS-Kosice,DE,DE,0
