"SOURCE","DEST","SRC_SITE","DEST_SITE","SRC_CLOUD","DEST_CLOUD","AGIS_DISTANCE"
UKI-SCOTGRID-DURHAM_DATADISK,DESY-ZN_DATADISK,UKI-SCOTGRID-DURHAM,DESY-ZN,UK,DE,4
UKI-SCOTGRID-DURHAM_DATADISK,FZK-LCG2_DATADISK,UKI-SCOTGRID-DURHAM,FZK-LCG2,UK,DE,4
UKI-SCOTGRID-DURHAM_DATADISK,IFIC-LCG2_DATADISK,UKI-SCOTGRID-DURHAM,IFIC-LCG2,UK,ES,4
UKI-SCOTGRID-DURHAM_DATADISK,MPPMU_DATADISK,UKI-SCOTGRID-DURHAM,MPPMU,UK,DE,4
UKI-SCOTGRID-DURHAM_DATADISK,MWT2_DATADISK,UKI-SCOTGRID-DURHAM,MWT2,UK,US,4
UKI-SCOTGRID-DURHAM_DATADISK,NDGF-T1_DATADISK,UKI-SCOTGRID-DURHAM,NDGF-T1,UK,ND,4
UKI-SCOTGRID-DURHAM_DATADISK,SWT2_CPB_DATADISK,UKI-SCOTGRID-DURHAM,SWT2_CPB,UK,US,4
UKI-SCOTGRID-DURHAM_DATADISK,TRIUMF-LCG2_DATADISK,UKI-SCOTGRID-DURHAM,TRIUMF-LCG2,UK,CA,4
UKI-SCOTGRID-DURHAM_DATADISK,UAM-LCG2_DATADISK,UKI-SCOTGRID-DURHAM,UAM-LCG2,UK,ES,4
UKI-SCOTGRID-DURHAM_DATADISK,UKI-LT2-QMUL_DATADISK,UKI-SCOTGRID-DURHAM,UKI-LT2-QMUL,UK,UK,4
UKI-SCOTGRID-DURHAM_DATADISK,UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-SCOTGRID-DURHAM,UKI-NORTHGRID-LANCS-HEP,UK,UK,4
UKI-SCOTGRID-DURHAM_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SCOTGRID-DURHAM,,UK,,4
UKI-SCOTGRID-DURHAM_DATADISK,WUPPERTALPROD_DATADISK,UKI-SCOTGRID-DURHAM,wuppertalprod,UK,DE,4
UKI-SOUTHGRID-RALPP_DATADISK,IN2P3-CC_DATADISK,UKI-SOUTHGRID-RALPP,IN2P3-CC,UK,FR,4
UKI-SOUTHGRID-RALPP_DATADISK,NDGF-T1_DATADISK,UKI-SOUTHGRID-RALPP,NDGF-T1,UK,ND,4
UKI-SOUTHGRID-RALPP_DATADISK,NET2_DATADISK,UKI-SOUTHGRID-RALPP,BU_ATLAS_Tier2,UK,US,4
UKI-SOUTHGRID-RALPP_DATADISK,PIC_DATADISK,UKI-SOUTHGRID-RALPP,pic,UK,ES,4
UKI-SOUTHGRID-RALPP_DATADISK,RRC-KI-T1_DATADISK,UKI-SOUTHGRID-RALPP,RRC-KI-T1,UK,RU,4
UKI-SOUTHGRID-RALPP_DATADISK,TRIUMF-LCG2_DATADISK,UKI-SOUTHGRID-RALPP,TRIUMF-LCG2,UK,CA,4
UKI-SOUTHGRID-RALPP_DATADISK,UKI-LT2-QMUL_DATADISK,UKI-SOUTHGRID-RALPP,UKI-LT2-QMUL,UK,UK,4
UKI-SOUTHGRID-RALPP_DATADISK,UKI-NORTHGRID-SHEF-HEP_DATADISK,UKI-SOUTHGRID-RALPP,,UK,,4
UKI-SOUTHGRID-RALPP_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SOUTHGRID-RALPP,,UK,,4
UNI-FREIBURG_DATADISK,DESY-ZN_DATADISK,UNI-FREIBURG,DESY-ZN,DE,DE,4
UNI-FREIBURG_DATADISK,FZK-LCG2_DATADISK,UNI-FREIBURG,FZK-LCG2,DE,DE,4
UNI-FREIBURG_DATADISK,GOEGRID_DATADISK,UNI-FREIBURG,GoeGrid,DE,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,RO-07-NIPNE_DATADISK,UKI-NORTHGRID-LANCS-HEP,RO-07-NIPNE,UK,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,CSCS-LCG2_DATADISK,,CSCS-LCG2,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,DESY-ZN_DATADISK,,DESY-ZN,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,GOEGRID_DATADISK,,GoeGrid,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,GRIF-IRFU_DATADISK,,GRIF-IRFU,,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,GRIF-LPNHE_DATADISK,,GRIF-LPNHE,,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,IFAE_DATADISK,,ifae,,ES,4
UKI-SCOTGRID-GLASGOW_DATADISK,IFIC-LCG2_DATADISK,,IFIC-LCG2,,ES,4
UKI-SCOTGRID-GLASGOW_DATADISK,IN2P3-CPPM_DATADISK,,IN2P3-CPPM,,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,IN2P3-LPSC_DATADISK,,IN2P3-LPSC,,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,INFN-NAPOLI-ATLAS_DATADISK,,INFN-NAPOLI-ATLAS,,IT,4
UKI-SCOTGRID-GLASGOW_DATADISK,INFN-ROMA1_DATADISK,,INFN-ROMA1,,IT,4
UKI-SCOTGRID-GLASGOW_DATADISK,JINR-LCG2_DATADISK,,JINR-LCG2,,RU,4
UKI-SCOTGRID-GLASGOW_DATADISK,LRZ-LMU_DATADISK,,LRZ-LMU,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,MPPMU_DATADISK,,MPPMU,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,NDGF-T1_DATADISK,,NDGF-T1,,ND,4
UKI-SCOTGRID-GLASGOW_DATADISK,NIKHEF-ELPROD_DATADISK,,,,,4
UKI-SCOTGRID-GLASGOW_DATADISK,PRAGUELCG2_DATADISK,,praguelcg2,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,RO-07-NIPNE_DATADISK,,RO-07-NIPNE,,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,SARA-MATRIX_DATADISK,,SARA-MATRIX,,NL,4
UKI-SCOTGRID-GLASGOW_DATADISK,TAIWAN-LCG2_DATADISK,,Taiwan-LCG2,,TW,4
UKI-SCOTGRID-GLASGOW_DATADISK,TOKYO-LCG2_DATADISK,,TOKYO-LCG2,,FR,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-LT2-QMUL_DATADISK,,UKI-LT2-QMUL,,UK,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-NORTHGRID-LANCS-HEP_DATADISK,,UKI-NORTHGRID-LANCS-HEP,,UK,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-NORTHGRID-LIV-HEP_DATADISK,,UKI-NORTHGRID-LIV-HEP,,UK,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,,UKI-NORTHGRID-MAN-HEP,,UK,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-NORTHGRID-SHEF-HEP_DATADISK,,,,,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SCOTGRID-DURHAM_DATADISK,,UKI-SCOTGRID-DURHAM,,UK,4
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SCOTGRID-ECDF_DATADISK,,UKI-SCOTGRID-ECDF,,UK,4
UKI-SCOTGRID-GLASGOW_DATADISK,UNI-FREIBURG_DATADISK,,UNI-FREIBURG,,DE,4
UKI-SCOTGRID-GLASGOW_DATADISK,WUPPERTALPROD_DATADISK,,wuppertalprod,,DE,4
UKI-SCOTGRID-ECDF_DATADISK,AGLT2_DATADISK,UKI-SCOTGRID-ECDF,AGLT2,UK,US,4
UKI-SCOTGRID-ECDF_DATADISK,BNL-OSG2_DATADISK,UKI-SCOTGRID-ECDF,BNL-ATLAS,UK,US,4
UKI-SCOTGRID-ECDF_DATADISK,CERN-PROD_DATADISK,UKI-SCOTGRID-ECDF,CERN-PROD,UK,CERN,4
UKI-SCOTGRID-ECDF_DATADISK,DESY-ZN_DATADISK,UKI-SCOTGRID-ECDF,DESY-ZN,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,FMPHI-UNIBA_DATADISK,UKI-SCOTGRID-ECDF,FMPhI-UNIBA,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,FZK-LCG2_DATADISK,UKI-SCOTGRID-ECDF,FZK-LCG2,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,GRIF-LPNHE_DATADISK,UKI-SCOTGRID-ECDF,GRIF-LPNHE,UK,FR,4
UKI-SCOTGRID-ECDF_DATADISK,IEPSAS-KOSICE_DATADISK,UKI-SCOTGRID-ECDF,IEPSAS-Kosice,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,IFIC-LCG2_DATADISK,UKI-SCOTGRID-ECDF,IFIC-LCG2,UK,ES,4
UKI-SCOTGRID-ECDF_DATADISK,IN2P3-CC_DATADISK,UKI-SCOTGRID-ECDF,IN2P3-CC,UK,FR,4
UKI-SCOTGRID-ECDF_DATADISK,LRZ-LMU_DATADISK,UKI-SCOTGRID-ECDF,LRZ-LMU,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,MPPMU_DATADISK,UKI-SCOTGRID-ECDF,MPPMU,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,NDGF-T1_DATADISK,UKI-SCOTGRID-ECDF,NDGF-T1,UK,ND,4
UKI-SCOTGRID-ECDF_DATADISK,NET2_DATADISK,UKI-SCOTGRID-ECDF,BU_ATLAS_Tier2,UK,US,4
UKI-SCOTGRID-ECDF_DATADISK,PIC_DATADISK,UKI-SCOTGRID-ECDF,pic,UK,ES,4
UKI-SCOTGRID-ECDF_DATADISK,PRAGUELCG2_DATADISK,UKI-SCOTGRID-ECDF,praguelcg2,UK,DE,4
UKI-SCOTGRID-ECDF_DATADISK,SWT2_CPB_DATADISK,UKI-SCOTGRID-ECDF,SWT2_CPB,UK,US,4
UKI-SCOTGRID-ECDF_DATADISK,TOKYO-LCG2_DATADISK,UKI-SCOTGRID-ECDF,TOKYO-LCG2,UK,FR,4
UKI-SCOTGRID-ECDF_DATADISK,UAM-LCG2_DATADISK,UKI-SCOTGRID-ECDF,UAM-LCG2,UK,ES,4
UKI-LT2-RHUL_DATADISK,IFAE_DATADISK,UKI-LT2-RHUL,ifae,UK,ES,4
UKI-LT2-RHUL_DATADISK,IFIC-LCG2_DATADISK,UKI-LT2-RHUL,IFIC-LCG2,UK,ES,4
UKI-LT2-RHUL_DATADISK,IN2P3-CC_DATADISK,UKI-LT2-RHUL,IN2P3-CC,UK,FR,4
UKI-LT2-RHUL_DATADISK,IN2P3-LAPP_DATADISK,UKI-LT2-RHUL,IN2P3-LAPP,UK,FR,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,CA-VICTORIA-WESTGRID-T2_DATADISK,UKI-NORTHGRID-LANCS-HEP,CA-VICTORIA-WESTGRID-T2,UK,CA,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,CSCS-LCG2_DATADISK,UKI-NORTHGRID-LANCS-HEP,CSCS-LCG2,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,DESY-HH_DATADISK,UKI-NORTHGRID-LANCS-HEP,DESY-HH,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,GOEGRID_DATADISK,UKI-NORTHGRID-LANCS-HEP,GoeGrid,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,GRIF-IRFU_DATADISK,UKI-NORTHGRID-LANCS-HEP,GRIF-IRFU,UK,FR,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,GRIF-LPNHE_DATADISK,UKI-NORTHGRID-LANCS-HEP,GRIF-LPNHE,UK,FR,4
UKI-LT2-RHUL_DATADISK,LRZ-LMU_DATADISK,UKI-LT2-RHUL,LRZ-LMU,UK,DE,4
UKI-LT2-RHUL_DATADISK,NDGF-T1_DATADISK,UKI-LT2-RHUL,NDGF-T1,UK,ND,4
UKI-LT2-RHUL_DATADISK,NIKHEF-ELPROD_DATADISK,UKI-LT2-RHUL,,UK,,4
UKI-LT2-RHUL_DATADISK,PIC_DATADISK,UKI-LT2-RHUL,pic,UK,ES,4
UKI-LT2-RHUL_DATADISK,RRC-KI-T1_DATADISK,UKI-LT2-RHUL,RRC-KI-T1,UK,RU,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,SARA-MATRIX_DATADISK,UKI-NORTHGRID-LANCS-HEP,SARA-MATRIX,UK,NL,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,SLACXRD_DATADISK,UKI-NORTHGRID-LANCS-HEP,WT2,UK,US,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,SWT2_CPB_DATADISK,UKI-NORTHGRID-LANCS-HEP,SWT2_CPB,UK,US,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,TAIWAN-LCG2_DATADISK,UKI-NORTHGRID-LANCS-HEP,Taiwan-LCG2,UK,TW,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UAM-LCG2_DATADISK,UKI-NORTHGRID-LANCS-HEP,UAM-LCG2,UK,ES,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-LT2-QMUL_DATADISK,UKI-NORTHGRID-LANCS-HEP,UKI-LT2-QMUL,UK,UK,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-LT2-RHUL_DATADISK,UKI-NORTHGRID-LANCS-HEP,UKI-LT2-RHUL,UK,UK,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LIV-HEP,UK,UK,4
UKI-LT2-RHUL_DATADISK,SLACXRD_DATADISK,UKI-LT2-RHUL,WT2,UK,US,4
UKI-LT2-RHUL_DATADISK,SWT2_CPB_DATADISK,UKI-LT2-RHUL,SWT2_CPB,UK,US,4
UKI-LT2-RHUL_DATADISK,TAIWAN-LCG2_DATADISK,UKI-LT2-RHUL,Taiwan-LCG2,UK,TW,4
UKI-LT2-RHUL_DATADISK,TRIUMF-LCG2_DATADISK,UKI-LT2-RHUL,TRIUMF-LCG2,UK,CA,4
UKI-LT2-RHUL_DATADISK,UAM-LCG2_DATADISK,UKI-LT2-RHUL,UAM-LCG2,UK,ES,4
UKI-LT2-RHUL_DATADISK,UKI-LT2-QMUL_DATADISK,UKI-LT2-RHUL,UKI-LT2-QMUL,UK,UK,4
UKI-LT2-RHUL_DATADISK,UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-LT2-RHUL,UKI-NORTHGRID-LANCS-HEP,UK,UK,4
UKI-LT2-RHUL_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-LT2-RHUL,UKI-NORTHGRID-MAN-HEP,UK,UK,4
UKI-LT2-RHUL_DATADISK,UKI-NORTHGRID-SHEF-HEP_DATADISK,UKI-LT2-RHUL,,UK,,4
UKI-LT2-RHUL_DATADISK,UKI-SCOTGRID-ECDF_DATADISK,UKI-LT2-RHUL,UKI-SCOTGRID-ECDF,UK,UK,4
UKI-LT2-RHUL_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-LT2-RHUL,,UK,,4
UKI-LT2-RHUL_DATADISK,UNI-FREIBURG_DATADISK,UKI-LT2-RHUL,UNI-FREIBURG,UK,DE,4
UKI-LT2-RHUL_DATADISK,WUPPERTALPROD_DATADISK,UKI-LT2-RHUL,wuppertalprod,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-MAN-HEP,UK,UK,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-SCOTGRID-DURHAM_DATADISK,UKI-NORTHGRID-LANCS-HEP,UKI-SCOTGRID-DURHAM,UK,UK,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-NORTHGRID-LANCS-HEP,,UK,,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,WUPPERTALPROD_DATADISK,UKI-NORTHGRID-LANCS-HEP,wuppertalprod,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,IFIC-LCG2_DATADISK,UKI-NORTHGRID-LANCS-HEP,IFIC-LCG2,UK,ES,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,IL-TAU-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,,UK,,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,IN2P3-CPPM_DATADISK,UKI-NORTHGRID-LANCS-HEP,IN2P3-CPPM,UK,FR,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,IN2P3-LAPP_DATADISK,UKI-NORTHGRID-LANCS-HEP,IN2P3-LAPP,UK,FR,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,INFN-NAPOLI-ATLAS_DATADISK,UKI-NORTHGRID-LANCS-HEP,INFN-NAPOLI-ATLAS,UK,IT,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,INFN-ROMA1_DATADISK,UKI-NORTHGRID-LANCS-HEP,INFN-ROMA1,UK,IT,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,INFN-T1_DATADISK,UKI-NORTHGRID-LANCS-HEP,INFN-T1,UK,IT,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,LRZ-LMU_DATADISK,UKI-NORTHGRID-LANCS-HEP,LRZ-LMU,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,AUSTRALIA-ATLAS_DATADISK,UKI-NORTHGRID-LANCS-HEP,Australia-ATLAS,UK,CA,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,AGLT2_DATADISK,UKI-NORTHGRID-LANCS-HEP,AGLT2,UK,US,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,MPPMU_DATADISK,UKI-NORTHGRID-LANCS-HEP,MPPMU,UK,DE,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,PIC_DATADISK,UKI-NORTHGRID-LANCS-HEP,pic,UK,ES,4
UKI-NORTHGRID-LANCS-HEP_DATADISK,PRAGUELCG2_DATADISK,UKI-NORTHGRID-LANCS-HEP,praguelcg2,UK,DE,4
UAM-LCG2_DATADISK,IN2P3-CPPM_DATADISK,UAM-LCG2,IN2P3-CPPM,ES,FR,4
UAM-LCG2_DATADISK,IN2P3-LAPP_DATADISK,UAM-LCG2,IN2P3-LAPP,ES,FR,4
UAM-LCG2_DATADISK,IN2P3-LPC_DATADISK,UAM-LCG2,IN2P3-LPC,ES,FR,4
UAM-LCG2_DATADISK,IN2P3-LPSC_DATADISK,UAM-LCG2,IN2P3-LPSC,ES,FR,4
UAM-LCG2_DATADISK,INFN-NAPOLI-ATLAS_DATADISK,UAM-LCG2,INFN-NAPOLI-ATLAS,ES,IT,4
UAM-LCG2_DATADISK,INFN-T1_DATADISK,UAM-LCG2,INFN-T1,ES,IT,4
UAM-LCG2_DATADISK,LRZ-LMU_DATADISK,UAM-LCG2,LRZ-LMU,ES,DE,4
UAM-LCG2_DATADISK,MPPMU_DATADISK,UAM-LCG2,MPPMU,ES,DE,4
UAM-LCG2_DATADISK,MWT2_DATADISK,UAM-LCG2,MWT2,ES,US,4
UAM-LCG2_DATADISK,NDGF-T1_DATADISK,UAM-LCG2,NDGF-T1,ES,ND,4
UAM-LCG2_DATADISK,NET2_DATADISK,UAM-LCG2,BU_ATLAS_Tier2,ES,US,4
UKI-NORTHGRID-MAN-HEP_DATADISK,CA-VICTORIA-WESTGRID-T2_DATADISK,UKI-NORTHGRID-MAN-HEP,CA-VICTORIA-WESTGRID-T2,UK,CA,4
UKI-NORTHGRID-MAN-HEP_DATADISK,CSCS-LCG2_DATADISK,UKI-NORTHGRID-MAN-HEP,CSCS-LCG2,UK,DE,4
UKI-NORTHGRID-MAN-HEP_DATADISK,GRIF-IRFU_DATADISK,UKI-NORTHGRID-MAN-HEP,GRIF-IRFU,UK,FR,4
UKI-NORTHGRID-MAN-HEP_DATADISK,GRIF-LPNHE_DATADISK,UKI-NORTHGRID-MAN-HEP,GRIF-LPNHE,UK,FR,4
UKI-NORTHGRID-MAN-HEP_DATADISK,IFAE_DATADISK,UKI-NORTHGRID-MAN-HEP,ifae,UK,ES,4
UKI-NORTHGRID-LIV-HEP_DATADISK,AGLT2_DATADISK,UKI-NORTHGRID-LIV-HEP,AGLT2,UK,US,4
UKI-NORTHGRID-LIV-HEP_DATADISK,BNL-OSG2_DATADISK,UKI-NORTHGRID-LIV-HEP,BNL-ATLAS,UK,US,4
UKI-NORTHGRID-MAN-HEP_DATADISK,IL-TAU-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP,,UK,,4
UKI-NORTHGRID-MAN-HEP_DATADISK,IN2P3-LAPP_DATADISK,UKI-NORTHGRID-MAN-HEP,IN2P3-LAPP,UK,FR,4
UKI-NORTHGRID-MAN-HEP_DATADISK,IN2P3-LPC_DATADISK,UKI-NORTHGRID-MAN-HEP,IN2P3-LPC,UK,FR,4
UKI-NORTHGRID-MAN-HEP_DATADISK,IN2P3-LPSC_DATADISK,UKI-NORTHGRID-MAN-HEP,IN2P3-LPSC,UK,FR,4
UKI-NORTHGRID-MAN-HEP_DATADISK,INFN-MILANO-ATLASC_DATADISK,UKI-NORTHGRID-MAN-HEP,INFN-MILANO-ATLASC,UK,IT,4
UKI-NORTHGRID-MAN-HEP_DATADISK,INFN-NAPOLI-ATLAS_DATADISK,UKI-NORTHGRID-MAN-HEP,INFN-NAPOLI-ATLAS,UK,IT,4
UKI-NORTHGRID-MAN-HEP_DATADISK,LRZ-LMU_DATADISK,UKI-NORTHGRID-MAN-HEP,LRZ-LMU,UK,DE,4
UKI-NORTHGRID-LIV-HEP_DATADISK,CERN-PROD_DATADISK,UKI-NORTHGRID-LIV-HEP,CERN-PROD,UK,CERN,4
UKI-NORTHGRID-LIV-HEP_DATADISK,DESY-ZN_DATADISK,UKI-NORTHGRID-LIV-HEP,DESY-ZN,UK,DE,4
UKI-NORTHGRID-LIV-HEP_DATADISK,FZK-LCG2_DATADISK,UKI-NORTHGRID-LIV-HEP,FZK-LCG2,UK,DE,4
SARA-MATRIX_DATADISK,UNIBE-LHEP_DATADISK,SARA-MATRIX,UNIBE-LHEP,NL,ND,4
UKI-NORTHGRID-LIV-HEP_DATADISK,IFIC-LCG2_DATADISK,UKI-NORTHGRID-LIV-HEP,IFIC-LCG2,UK,ES,4
UKI-NORTHGRID-LIV-HEP_DATADISK,IN2P3-CC_DATADISK,UKI-NORTHGRID-LIV-HEP,IN2P3-CC,UK,FR,4
UKI-NORTHGRID-LIV-HEP_DATADISK,MPPMU_DATADISK,UKI-NORTHGRID-LIV-HEP,MPPMU,UK,DE,4
UKI-NORTHGRID-LIV-HEP_DATADISK,NDGF-T1_DATADISK,UKI-NORTHGRID-LIV-HEP,NDGF-T1,UK,ND,4
UKI-NORTHGRID-LIV-HEP_DATADISK,PIC_DATADISK,UKI-NORTHGRID-LIV-HEP,pic,UK,ES,4
UKI-NORTHGRID-LIV-HEP_DATADISK,RRC-KI-T1_DATADISK,UKI-NORTHGRID-LIV-HEP,RRC-KI-T1,UK,RU,4
UKI-NORTHGRID-LIV-HEP_DATADISK,TOKYO-LCG2_DATADISK,UKI-NORTHGRID-LIV-HEP,TOKYO-LCG2,UK,FR,4
UKI-NORTHGRID-LIV-HEP_DATADISK,TRIUMF-LCG2_DATADISK,UKI-NORTHGRID-LIV-HEP,TRIUMF-LCG2,UK,CA,4
UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-MAN-HEP,UK,UK,4
UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-SHEF-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,,UK,,4
UKI-NORTHGRID-LIV-HEP_DATADISK,CERN-PROD-RUCIOTEST_DATADISK,UKI-NORTHGRID-LIV-HEP,CERN-PROD,UK,CERN,4
UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-SCOTGRID-ECDF_DATADISK,UKI-NORTHGRID-LIV-HEP,UKI-SCOTGRID-ECDF,UK,UK,4
UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-NORTHGRID-LIV-HEP,,UK,,4
UKI-NORTHGRID-LIV-HEP_DATADISK,WUPPERTALPROD_DATADISK,UKI-NORTHGRID-LIV-HEP,wuppertalprod,UK,DE,4
UKI-LT2-RHUL_DATADISK,DESY-HH_DATADISK,UKI-LT2-RHUL,DESY-HH,UK,DE,4
UKI-LT2-RHUL_DATADISK,DESY-ZN_DATADISK,UKI-LT2-RHUL,DESY-ZN,UK,DE,4
UKI-LT2-RHUL_DATADISK,FZK-LCG2_DATADISK,UKI-LT2-RHUL,FZK-LCG2,UK,DE,4
UKI-LT2-RHUL_DATADISK,GOEGRID_DATADISK,UKI-LT2-RHUL,GoeGrid,UK,DE,4
UKI-LT2-QMUL_DATADISK,UKI-NORTHGRID-SHEF-HEP_DATADISK,UKI-LT2-QMUL,,UK,,4
UKI-LT2-QMUL_DATADISK,UKI-SCOTGRID-ECDF_DATADISK,UKI-LT2-QMUL,UKI-SCOTGRID-ECDF,UK,UK,4
UKI-LT2-QMUL_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-LT2-QMUL,,UK,,4
UKI-LT2-QMUL_DATADISK,UKI-SOUTHGRID-OX-HEP_DATADISK,UKI-LT2-QMUL,UKI-SOUTHGRID-OX-HEP,UK,UK,4
UKI-LT2-QMUL_DATADISK,UNI-FREIBURG_DATADISK,UKI-LT2-QMUL,UNI-FREIBURG,UK,DE,4
UKI-LT2-QMUL_DATADISK,UTA_SWT2_DATADISK,UKI-LT2-QMUL,UTA_SWT2,UK,US,4
UKI-LT2-QMUL_DATADISK,WEIZMANN-LCG2_DATADISK,UKI-LT2-QMUL,,UK,,4
UKI-LT2-QMUL_DATADISK,WUPPERTALPROD_DATADISK,UKI-LT2-QMUL,wuppertalprod,UK,DE,4
UAM-LCG2_DATADISK,UKI-LT2-QMUL_DATADISK,UAM-LCG2,UKI-LT2-QMUL,ES,UK,4
UAM-LCG2_DATADISK,UKI-LT2-RHUL_DATADISK,UAM-LCG2,UKI-LT2-RHUL,ES,UK,4
UAM-LCG2_DATADISK,UKI-NORTHGRID-LANCS-HEP_DATADISK,UAM-LCG2,UKI-NORTHGRID-LANCS-HEP,ES,UK,4
UAM-LCG2_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,UAM-LCG2,UKI-NORTHGRID-MAN-HEP,ES,UK,4
UAM-LCG2_DATADISK,UKI-SCOTGRID-ECDF_DATADISK,UAM-LCG2,UKI-SCOTGRID-ECDF,ES,UK,4
UAM-LCG2_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UAM-LCG2,,ES,,4
UAM-LCG2_DATADISK,WUPPERTALPROD_DATADISK,UAM-LCG2,wuppertalprod,ES,DE,4
UKI-LT2-QMUL_DATADISK,AUSTRALIA-ATLAS_DATADISK,UKI-LT2-QMUL,Australia-ATLAS,UK,CA,4
UKI-LT2-QMUL_DATADISK,CA-VICTORIA-WESTGRID-T2_DATADISK,UKI-LT2-QMUL,CA-VICTORIA-WESTGRID-T2,UK,CA,4
UKI-LT2-QMUL_DATADISK,CSCS-LCG2_DATADISK,UKI-LT2-QMUL,CSCS-LCG2,UK,DE,4
UKI-LT2-QMUL_DATADISK,DESY-ZN_DATADISK,UKI-LT2-QMUL,DESY-ZN,UK,DE,4
