,datetime,queue,running,queued,transferring,queue_occupancy,queue_efficiency,site,cloud,rse
0,2021-09-19,ANALY_AGLT2_VP,743,14,0,53.0714,0.8194,AGLT2,US,
1,2021-09-19,ANALY_MWT2_VP,1008,140,0,7.2,0.9095,MWT2,US,MWT2_DATADISK
2,2021-09-19,ANALY_SWT2_CPB_VP,74,15,0,4.9333,0.7113,SWT2_CPB,US,SWT2_CPB_DATADISK
3,2021-09-19,RAL-LCG2_TEST,1315,333,0,3.9489,0.9632,RAL-LCG2,UK,RAL-LCG2-ECHO_DATADISK
4,2021-09-19,ANALY_LRZ_VP,67,17,0,3.9412,0.4339,LRZ-LMU,DE,
5,2021-09-19,IFIC,2457,669,321,3.6726,0.9428,IFIC-LCG2,ES,IFIC-LCG2_DATADISK
6,2021-09-19,DE-TARDIS,1030,439,173,2.3462,0.939,FZK-LCG2,DE,FZK-LCG2_DATADISK
7,2021-09-19,ANALY_FZU_VP_2,121,59,0,2.0508,0.8715,praguelcg2,DE,
8,2021-09-19,UNIBE-LHEP-UBELIX_MCORE_LOPRI,2,1,0,2.0,0.8347,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK
9,2021-09-19,UNIBE-LHEP-UBELIX_MCORE_LOPRI,2,1,0,2.0,0.8347,UNIBE-LHEP,ND,NDGF-T1_DATADISK
10,2021-09-19,NIKHEF,1070,552,1708,1.9384,0.5844,NIKHEF-ELPROD,NL,NIKHEF_DATADISK
11,2021-09-19,ANALY_ARNES_DIRECT,377,207,0,1.8213,0.8664,ARNES,ND,NDGF-T1_DATADISK
12,2021-09-19,INFN-FRASCATI,963,574,138,1.6777,0.9703,INFN-FRASCATI,IT,INFN-FRASCATI_DATADISK
13,2021-09-19,LUNARC,5,3,0,1.6667,0.0,SE-SNIC-T2,ND,NDGF-T1_DATADISK
14,2021-09-19,UIO_CLOUD,1326,803,81,1.6513,0.8983,NDGF-T1,ND,NDGF-T1_DATADISK
15,2021-09-19,BOINC-TEST,3,2,0,1.5,0.9474,BOINC,CERN,CERN-PROD_DATADISK
16,2021-09-19,BOINC-TEST,3,2,0,1.5,0.9474,BOINC,CERN,NDGF-T1_DATADISK
17,2021-09-19,wuppertalprod_CONDOR_TEST,3,2,0,1.5,0.9949,wuppertalprod,DE,WUPPERTALPROD_DATADISK
18,2021-09-19,SiGNET,5124,3725,182,1.3756,0.7179,SiGNET,ND,NDGF-T1_DATADISK
19,2021-09-19,OU_OSCER_ATLAS_OPP,4,3,3,1.3333,0.6533,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_DATADISK
20,2021-09-19,INFN-CNAF,2888,2254,326,1.2813,0.9797,INFN-T1,IT,INFN-T1_DATADISK
21,2021-09-19,BOINC_MCORE,46165,36512,96,1.2644,0.9905,BOINC,CERN,CERN-PROD_DATADISK
22,2021-09-19,BOINC_MCORE,46165,36512,96,1.2644,0.9905,BOINC,CERN,NDGF-T1_DATADISK
