,rse,Avg tombstone,Difference,Free(storage),Min space,Persistent,Primary diff,Quota(other),Storage Timestamp,Temporary,Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),datetime
227,RU-PROTVINO-IHEP_DATADISK,94.61,41.14,143.91,102.78,313.21,-304.88,0.0,,34.61,1027.78,557.43,14.65,0.0,869.21,09-30-2021
230,SAMPA_DATADISK,25.2,88.41,118.41,30.0,104.08,-86.14,0.0,,22.44,300.0,88.02,-0.29,0.0,181.89,09-30-2021
232,SARA-MATRIX_DATADISK,5.08,0.08,300.08,300.0,3115.34,925.72,0.0,,449.49,4208.87,383.91,73.83,0.0,3834.96,09-30-2021
243,SLACXRD_DATADISK,5.45,4.77,29.77,25.0,13.96,-120.16,0.0,,10.19,250.0,164.53,25.85,0.0,194.38,09-30-2021
247,SWT2_CPB_DATADISK,27.48,263.15,563.15,300.0,4275.45,654.2,0.0,,535.55,6700.0,1455.69,6.96,0.0,6129.89,09-30-2021
252,TAIWAN-LCG2_DATADISK,79.04,2239.38,2539.38,300.0,3752.5,-1511.95,0.0,,321.06,9007.2,2638.22,-62.77,0.0,6530.59,09-30-2021
255,TECHNION-HEP_DATADISK,19.85,622.67,820.17,197.5,581.19,-535.04,0.0,,86.01,1975.0,509.15,-4.29,0.0,1159.11,09-30-2021
258,TOKYO-LCG2_DATADISK,19.04,-0.78,299.22,300.0,4679.31,917.62,271.0,,545.05,6900.0,1557.91,9.18,138.66,6452.93,09-30-2021
261,TR-10-ULAKBIM_DATADISK,440.54,1.45,80.61,79.16,76.94,-389.87,0.0,,13.76,791.65,668.5,-42.58,0.0,753.62,09-30-2021
264,TRIUMF-LCG2_DATADISK,17.54,14.16,314.16,300.0,7054.18,2066.55,789.0,,686.84,10000.0,1357.35,32.87,702.46,8950.5,09-30-2021
271,UAM-LCG2_DATADISK,43.41,43.17,151.67,108.5,697.74,174.56,0.0,,214.15,1085.0,79.36,28.41,0.0,904.92,09-30-2021
274,UKI-LT2-BRUNEL_DATADISK,6.06,8.2,11.5,3.3,9.13,-10.4,0.0,,0.14,32.99,14.61,-2.51,0.0,24.0,09-30-2021
275,UKI-LT2-QMUL_DATADISK,8.71,3.93,303.93,300.0,2716.94,779.79,0.0,,335.39,3600.0,317.69,38.58,0.0,3257.48,09-30-2021
278,UKI-LT2-RHUL_DATADISK,42.44,0.6,83.06,82.46,250.18,-218.82,0.0,,38.18,824.63,547.93,-82.31,0.0,823.88,09-30-2021
281,UKI-NORTHGRID-LANCS-HEP_DATADISK,19.44,855.85,1060.56,204.71,633.66,-529.06,180.0,,66.08,2199.02,304.55,-0.35,151.92,986.9,09-30-2021
284,UKI-NORTHGRID-LIV-HEP_DATADISK,37.65,22.15,99.12,76.97,263.17,-212.87,0.0,,22.97,769.66,430.27,-8.65,0.0,679.2,09-30-2021
287,UKI-NORTHGRID-MAN-HEP_DATADISK,14.95,7.88,307.88,300.0,3447.91,896.01,0.0,,359.91,4500.0,539.72,56.39,0.0,4135.73,09-30-2021
291,UKI-SCOTGRID-DURHAM_DATADISK,7.54,9.8,38.94,29.14,13.8,-161.97,0.0,,5.66,291.37,277.69,-38.11,0.0,290.55,09-30-2021
293,UKI-SCOTGRID-ECDF_DATADISK,54.92,3.47,83.19,79.71,273.23,-195.01,0.0,,28.84,797.15,449.75,-19.06,0.0,733.02,09-30-2021
297,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,61.5,21.39,221.39,200.0,567.17,-664.67,0.0,,7.93,2000.0,1243.28,0.0,0.0,1778.61,09-30-2021
302,UKI-SOUTHGRID-RALPP_DATADISK,13.91,325.05,389.55,64.5,209.17,-168.68,0.0,,23.81,645.0,82.18,-45.05,0.0,300.5,09-30-2021
306,UNI-FREIBURG_DATADISK,11.85,28.07,208.07,180.0,1364.89,409.38,0.0,,298.28,1800.0,96.87,5.67,0.0,1586.25,09-30-2021
309,UNIBE-LHEP_DATADISK,55.6,11.95,169.18,157.23,465.37,-473.02,0.0,,45.17,1572.3,1046.42,-113.65,0.0,1516.78,09-30-2021
313,UTA_SWT2_DATADISK,-3.22,220.24,250.24,30.0,46.33,-137.02,0.0,,2.88,300.0,2.57,4.21,0.0,45.56,09-30-2021
314,WUPPERTALPROD_DATADISK,16.58,3.4,213.41,210.01,1344.34,256.62,0.0,,293.43,2100.1,356.59,13.42,0.0,1873.27,09-30-2021
317,ZA-WITS-CORE_DATADISK,185.39,24.14,35.13,11.0,10.19,-52.14,0.0,,0.14,109.95,59.79,1.2,0.0,73.62,09-30-2021
