,datetime,rse,site,cloud,tier_level,queue_efficiency,queue_occupancy,Free(storage),Total(storage),Difference,Primary diff,Unlocked,transferring,transferringlimit,corecount,corepower,running,queued,finished,failed,transferring_availability
40,09-28-2021,LRZ-LMU_DATADISK,HEPHY-UIBK,DE,2,0.3856,9.42,300.27,2129.66,87.31,267.08,296.75,56,2000,8.0,8.458,1469,146,580.0,924.0,1944
41,09-28-2021,LRZ-LMU_DATADISK,LRZ-LMU,DE,2,0.8027,1.45,300.27,2129.66,87.31,267.08,296.75,40,2000,8.0,9.761000000000001,1547,1055,2067.0,508.0,1960
42,09-28-2021,MPPMU_DATADISK,MPPMU,DE,2,0.8304,2.11,272.55,2400.0,47.39,391.94,241.0,76,2000,8.0,11.25,502,228,1767.0,361.0,1924
43,09-28-2021,MWT2_DATADISK,MWT2,US,2,0.9701,20.85,310.26,9800.0,10.26,1309.03,2157.8,2307,5000,8.0,11.08,27396,1304,28935.0,892.0,2693
44,09-28-2021,NDGF-T1_DATADISK,ARNES,ND,3,0.8493,0.97,285.6,14528.53,-14.4,1708.81,3678.93,353,2000,8.0,10.0,1353,1384,6328.0,1123.0,1647
45,09-28-2021,NDGF-T1_DATADISK,BOINC,CERN,3,0.9954,3.26,285.6,14528.53,-14.4,1708.81,3678.93,74,20000,1.0,10.0,45171,13852,40971.0,188.0,19926
46,09-28-2021,NDGF-T1_DATADISK,NDGF-T1,ND,1,0.9764,2.15,285.6,14528.53,-14.4,1708.81,3678.93,109,2000,8.0,16.039,897,1109,3127.0,155.0,1891
47,09-28-2021,NDGF-T1_DATADISK,SE-SNIC-T2,ND,2,0.0,0.0,285.6,14528.53,-14.4,1708.81,3678.93,0,2000,8.0,12.44,2,4,,665.0,2000
48,09-28-2021,NDGF-T1_DATADISK,SiGNET,ND,2,0.9429,4.68,285.6,14528.53,-14.4,1708.81,3678.93,445,2000,16.0,14.75,6622,4127,15430.0,935.0,1555
49,09-28-2021,NESE_DATADISK,BU_ATLAS_Tier2,US,2,0.8635,1.98,438.14,4418.38,138.14,215.57,1101.45,364,3000,8.0,10.72,2329,1166,8961.0,1416.0,2636
50,09-28-2021,NET2_DATADISK,BU_ATLAS_Tier2,US,2,0.8635,1.98,204.92,4050.0,-95.08,794.48,518.06,364,3000,8.0,10.72,2329,1166,8961.0,1416.0,2636
51,09-28-2021,OU_OSCER_ATLAS_DATADISK,OU_OSCER_ATLAS,US,2,0.9966,2.6,172.03,500.0,122.03,-162.77,185.52,34,2000,8.0,11.73,352,548,883.0,11.0,1966
52,09-28-2021,PIC_DATADISK,SAMPA,ES,2,0.7671,0.58,307.89,3170.0,7.89,658.84,258.22,415,2000,8.0,13.6,522,890,494.0,150.0,1585
53,09-28-2021,PIC_DATADISK,pic,ES,1,0.8382,1.86,307.89,3170.0,7.89,658.84,258.22,142,2000,8.0,13.6,1844,984,3833.0,740.0,1858
54,09-28-2021,PRAGUELCG2_DATADISK,praguelcg2,DE,2,0.9165,0.9,193.64,2089.07,1.82,500.95,101.16,89,2000,8.0,10.56,483,525,1174.0,107.0,1911
55,09-28-2021,RAL-LCG2-ECHO_DATADISK,RAL-LCG2,UK,1,0.9514,2.14,373.2,15340.0,73.2,2589.99,3172.82,279,3000,8.0,11.7,6190,2889,18747.0,958.0,2721
56,09-28-2021,RO-07-NIPNE_DATADISK,RO-07-NIPNE,FR,2,0.9815,5.42,272.53,2528.88,19.65,-763.76,1465.66,317,2000,8.0,10.5,2234,402,2390.0,45.0,1683
57,09-28-2021,RO-07-NIPNE_DATADISK,RO-16-UAIC,FR,2,0.9624,2.95,272.53,2528.88,19.65,-763.76,1465.66,70,5000,8.0,9.8,374,117,563.0,22.0,4930
58,09-28-2021,RRC-KI-T1_DATADISK,RRC-KI-T1,RU,1,0.9343,0.86,377.28,4563.13,77.28,984.19,461.93,164,2000,8.0,15.5,1077,1239,2957.0,208.0,1836
59,09-28-2021,SAMPA_DATADISK,SAMPA,ES,2,0.7671,0.58,118.41,300.0,88.41,-86.14,88.02,415,2000,8.0,13.6,522,890,494.0,150.0,1585
60,09-28-2021,SLACXRD_DATADISK,WT2,US,3,0.976,1.18,29.77,250.0,4.77,-120.16,164.53,57,2000,4.0,20.05,336,276,975.0,24.0,1943
61,09-28-2021,SWT2_CPB_DATADISK,SWT2_CPB,US,2,0.9776,2.18,563.15,6700.0,263.15,654.2,1455.69,488,3000,8.0,10.43,4812,2194,12106.0,277.0,2512
62,09-28-2021,SWT2_CPB_DATADISK,UTA_SWT2,US,2,0.9789,11.62,563.15,6700.0,263.15,654.2,1455.69,83,2000,8.0,9.17,1765,142,1393.0,30.0,1917
63,09-28-2021,TAIWAN-LCG2_DATADISK,TW-FTT,TW,2,0.8686,1.16,2539.38,9007.2,2239.38,-1511.95,2638.22,43,2000,8.0,10.14,581,491,1249.0,189.0,1957
64,09-28-2021,TAIWAN-LCG2_DATADISK,Taiwan-LCG2,TW,1,0.987,11.77,2539.38,9007.2,2239.38,-1511.95,2638.22,273,3000,8.0,16.27,1752,334,1673.0,97.0,2727
65,09-28-2021,TECHNION-HEP_DATADISK,IL-TAU-HEP,NL,2,0.6828,6.21,820.17,1975.0,622.67,-535.04,509.15,49,2000,8.0,10.0,452,63,1102.0,512.0,1951
66,09-28-2021,TECHNION-HEP_DATADISK,TECHNION-HEP,NL,2,0.9877,5.18,820.17,1975.0,622.67,-535.04,509.15,176,2000,8.0,11.75,1091,201,2251.0,28.0,1824
67,09-28-2021,TECHNION-HEP_DATADISK,WEIZMANN-LCG2,NL,2,0.9705,0.6,820.17,1975.0,622.67,-535.04,509.15,225,2000,8.0,11.75,308,507,1646.0,50.0,1775
68,09-28-2021,TOKYO-LCG2_DATADISK,TOKYO-LCG2,FR,2,0.9731,0.0,299.22,6900.0,-0.78,917.62,1557.91,1309,4000,8.0,18.27,4041,1044,11372.0,314.0,2691
69,09-28-2021,TRIUMF-LCG2_DATADISK,TRIUMF-LCG2,CA,1,0.9796,4.12,314.16,10000.0,14.16,2066.55,1357.35,788,5000,8.0,19.309,6310,1520,11957.0,249.0,4212
70,09-28-2021,UAM-LCG2_DATADISK,UAM-LCG2,ES,2,0.9235,0.0,151.67,1085.0,43.17,174.56,79.36,64,2000,48.0,16.75,74,26,302.0,25.0,1936
71,09-28-2021,UKI-LT2-BRUNEL_DATADISK,UKI-LT2-Brunel,UK,3,0.893,4.17,11.5,32.99,8.2,-10.4,14.61,27,3000,8.0,11.95,366,78,334.0,40.0,2973
72,09-28-2021,UKI-LT2-QMUL_DATADISK,UKI-LT2-IC-HEP,UK,3,0.9697,3.63,303.93,3600.0,3.93,779.79,317.69,55,3000,8.0,10.42,97,17,3550.0,111.0,2945
73,09-28-2021,UKI-LT2-QMUL_DATADISK,UKI-LT2-QMUL,UK,2,0.9474,0.48,303.93,3600.0,3.93,779.79,317.69,567,2000,8.0,15.588,1691,1747,4775.0,265.0,1433
74,09-28-2021,UKI-LT2-RHUL_DATADISK,UKI-LT2-RHUL,UK,2,0.9492,9.79,83.06,824.63,0.6,-218.82,547.93,74,2000,8.0,10.75,3956,394,4257.0,228.0,1926
75,09-28-2021,UKI-NORTHGRID-LANCS-HEP_DATADISK,UKI-NORTHGRID-LANCS-HEP,UK,2,0.9922,10.46,1060.56,2199.02,855.85,-529.06,304.55,465,6000,8.0,15.2,5838,548,10106.0,79.0,5535
76,09-28-2021,UKI-NORTHGRID-LIV-HEP_DATADISK,UKI-NORTHGRID-LIV-HEP,UK,2,0.9912,33.39,99.12,769.66,22.15,-212.87,430.27,265,3000,8.0,10.226,1869,46,2031.0,18.0,2735
77,09-28-2021,UKI-NORTHGRID-MAN-HEP_DATADISK,UKI-NORTHGRID-MAN-HEP,UK,2,0.6167,5.26,307.88,4500.0,7.88,896.01,539.72,448,6000,8.0,11.2,3399,637,7857.0,4884.0,5552
78,09-28-2021,UKI-SCOTGRID-DURHAM_DATADISK,UKI-SCOTGRID-DURHAM,UK,3,0.9238,1.2,38.94,291.37,9.8,-161.97,277.69,192,2000,8.0,13.4,863,710,2437.0,201.0,1808
79,09-28-2021,UKI-SCOTGRID-ECDF_DATADISK,UKI-SCOTGRID-ECDF,UK,2,0.9445,3.91,83.19,797.15,3.47,-195.01,449.75,199,3000,8.0,17.0,1175,291,1549.0,91.0,2801
80,09-28-2021,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW,UK,2,0.9646,3.32,221.39,2000.0,21.39,-664.67,1243.28,848,5000,8.0,8.74,10013,3002,5481.0,201.0,4152
81,09-28-2021,UKI-SOUTHGRID-RALPP_DATADISK,UKI-SOUTHGRID-RALPP,UK,2,0.7841,5.98,389.55,645.0,325.05,-168.68,82.18,335,3000,8.0,10.0,1662,268,1413.0,389.0,2665
82,09-28-2021,UNI-FREIBURG_DATADISK,UNI-FREIBURG,DE,2,0.9239,8.03,208.07,1800.0,28.07,409.38,96.87,206,2000,8.0,8.99,1951,233,3072.0,253.0,1794
83,09-28-2021,UNIBE-LHEP_DATADISK,UNIBE-LHEP,ND,2,0.9164,0.78,169.18,1572.3,11.95,-473.02,1046.42,128,2000,8.0,19.2,943,1195,1634.0,149.0,1872
84,09-28-2021,UTA_SWT2_DATADISK,UTA_SWT2,US,2,0.0,0.55,250.24,300.0,220.24,-137.02,2.57,0,2000,8.0,9.17,5,1,65.0,,2000
85,09-28-2021,WUPPERTALPROD_DATADISK,wuppertalprod,DE,2,0.5183,2.12,213.41,2100.1,3.4,256.62,356.59,449,2000,8.0,9.8,4539,2131,8474.0,7875.0,1551
86,09-28-2021,ZA-WITS-CORE_DATADISK,ZA-WITS-CORE,NL,3,0.9775,7.12,35.13,109.95,24.14,-52.14,59.79,51,2000,1.0,10.0,120,7,304.0,7.0,1949
