,queue,site,cloud,rse,datetime
93,IFIC,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
94,IFIC_ARC_TEST,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
95,IFIC_Lusitania2,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
96,IFIC_MareNostrum4,IFIC-LCG2,ES,IFIC-LCG2_DATADISK,09-24-2021
97,IHEP,RU-Protvino-IHEP,RU,RU-PROTVINO-IHEP_DATADISK,09-24-2021
98,IL-TAU,IL-TAU-HEP,NL,TECHNION-HEP_DATADISK,09-24-2021
99,IN2P3-CC,IN2P3-CC,FR,IN2P3-CC_DATADISK,09-24-2021
100,IN2P3-CC-TEST_ALPAMED,IN2P3-CC,FR,IN2P3-CC_DATADISK,09-24-2021
100,IN2P3-CC-TEST_ALPAMED,IN2P3-CC,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
100,IN2P3-CC-TEST_ALPAMED,IN2P3-CC,FR,FR-ALPES_DATADISK_DATALAKES,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,GRIF-LPNHE_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,IN2P3-CPPM_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,CERN-PROD_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,IN2P3-LPSC_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,UNI-FREIBURG_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,IN2P3-LAPP_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,IN2P3-CC_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,PRAGUELCG2_DATADISK,09-24-2021
101,IN2P3-CC-TEST_LAKE,IN2P3-CC,FR,IN2P3-LPC_DATADISK,09-24-2021
102,IN2P3-CPPM,IN2P3-CPPM,FR,IN2P3-CPPM_DATADISK,09-24-2021
103,IN2P3-CPPM-TEST,IN2P3-CPPM,FR,IN2P3-CPPM_DATADISK,09-24-2021
104,IN2P3-CPPM-TEST_ALPAMED,IN2P3-CPPM,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
104,IN2P3-CPPM-TEST_ALPAMED,IN2P3-CPPM,FR,FR-ALPES_DATADISK_DATALAKES,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,GRIF-LPNHE_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,IN2P3-CPPM_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,CERN-PROD_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,IN2P3-LPSC_DATADISK,09-24-2021
