,datetime,queue,running,defined,assigned,activated,starting,transferring,holding,throttled,queue_occupancy_rate,site,cloud,tier_level,rse
66,2021-09-19,BNL_PROD_INTEL,3.0,,,11.0,,,,,0.0,BNL,US,1,BNL-OSG2_DATADISK
67,2021-09-19,BNL_VHIMEM,2.0,,,3.0,,,,,0.0,BNL,US,1,BNL-OSG2_DATADISK
68,2021-09-19,BOINC_MCORE,45364.0,,,32769.0,4580.0,124.0,11.0,,0.0,BOINC,CERN,3,NDGF-T1_DATADISK
69,2021-09-19,CA-IAAS-T3,367.0,,392.0,413.0,7.0,372.0,,,0.0,CA-IAAS-T3,CA,3,CA-VICTORIA-WESTGRID-T2_DATADISK
70,2021-09-19,CA-TRIUMF-DISKLESS,48.0,,1.0,36.0,200.0,14.0,,,0.0,CA-TRIUMF-DISKLESS,CA,3,TRIUMF-LCG2_DATADISK
71,2021-09-19,CA-TRIUMF-DYNAFED,3.0,,,,,,,,0.0,CA-TRIUMF-DYNAFED,CA,3,CA-UVIC-CLOUD_DATADISK
72,2021-09-19,CERN-AZURE,209.0,,,334.0,,,,14.0,0.0,CERN-PROD,CERN,0,CERN-PROD_DATADISK
73,2021-09-19,CERN-BACKFILL,1.0,,,7.0,,,,,0.0,CERN-PROD,CERN,0,CERN-PROD_DATADISK
74,2021-09-19,CERN-EXTENSION,10.0,,,34.0,,4.0,,,0.0,CERN-EXTENSION,CERN,3,CERN-PROD_DATADISK
75,2021-09-19,CERN-EXTENSION_KUBERNETES,51.0,,6.0,144.0,,81.0,,,0.0,CERN-EXTENSION,CERN,3,CERN-PROD_DATADISK
76,2021-09-19,CERN-HPC,6.0,,,246.0,,104.0,,,0.0,CERN-PROD,CERN,0,CERN-PROD_DATADISK
77,2021-09-19,CERN-HPC_ES,129.0,,,1443.0,,56.0,,,0.0,CERN-PROD,CERN,0,CERN-PROD_DATADISK
78,2021-09-19,CERN-IPV6,2.0,,,6.0,,,,,0.0,CERN-PROD,CERN,0,CERN-PROD_DATADISK
79,2021-09-19,CERN-P1,6621.0,,6.0,7738.0,1305.0,13974.0,3.0,,0.0,CERN-P1,CERN,3,CERN-PROD_DATADISK
80,2021-09-19,CERN-P1_UCORE,82.0,,,1008.0,509.0,6.0,,,0.0,CERN-P1,CERN,3,CERN-PROD_DATADISK
81,2021-09-19,CERN-PROD_EOS,237.0,,1.0,840.0,,223.0,,,0.0,CERN-PROD,CERN,0,CERN-PROD_DATADISK
